"area","bacia","capacidade","data_informacao","estado","fonte","hectares","id","municipio","nome","nome_sem_acento","perimetro","reservat","reservat_sem_acento","tipo","uf","volume","volume_percentual"
1271913.87,"Jacu",20.65,2016-12-01,"RIO GRANDE DO NORTE","ANA",127.19,12223,"São José do Campestre","Japi II","Japi II",10900.97,"Açude Japi II","Acude Japi II","reservatorio","RN",0,0
3275414.08,"São Francisco",19.01,2017-03-08,"ALAGOAS","ANA",327.54,12224,"Jaramataia","Jaramataia","Jaramataia",24312.83,"Açude Público Jaramataia","Acude Publico Jaramataia","reservatorio","AL",8.24,43.4
0,"Banabuiú",1.07,2017-03-15,"CEARÁ","ANA",21.12,12225,"Milhã","Jatobá","Jatoba",4648.59,"Açude Jatobá","Acude Jatoba","reservatorio","CE",0.16,15
4219987.19,"Espinharas",17.52,2017-03-16,"PARAÍBA","AESA",422,12226,"Patos / São José do Bonfim","Jatobá I","Jatoba I",27314.81,"Açude Jatobá I","Acude Jatoba I","reservatorio","PB",0.34,2
761779.89,"Piancó",6.49,2017-01-26,"PARAÍBA","ANA",76.18,12227,"Princesa Isabel","Jatobá II","Jatoba II",8896.71,"Açude Jatobá II","Acude Jatoba II","reservatorio","PB",0.01,0.1
2211046.14,"Pajeu",15.54,2017-02-24,"PERNAMBUCO","ANA",221.1,12228,"Serra Talhada","Jazigo","Jazigo",26475.44,"Açude Jazigo","Acude Jazigo","reservatorio","PE",0,0
678174.39,"Alto Piranhas",1.95,2017-01-26,"PARAÍBA","ANA",67.82,12229,"São José da Lagoa Tapada","Jenipapeiro","Jenipapeiro",10465.52,"Açude Jenipapeiro","Acude Jenipapeiro","reservatorio","PB",0,0
2078689.21,"Médio Jaguaribe",17,2017-03-18,"CEARÁ","ANA",207.87,12230,"Deputado Irapuan Pinheiro","Jenipapeiro","Jenipapeiro",23035.39,"Açude Jenipapeiro","Acude Jenipapeiro","reservatorio","CE",0.02,0.1
9777355.07,"Piancó",70.76,2017-02-21,"PARAÍBA","AESA",977.74,12231,"Olho d'Água","Jenipapeiro (Buiú)","Jenipapeiro (Buiu)",79748.78,"Açude Jenipapeiro (Buiú)","Acude Jenipapeiro (Buiu)","reservatorio","PB",8.1,11.4
0,"Salgado",43.45,2017-03-18,"CEARÁ","ANA",65.35,12232,"Baixio / Umari","Jenipapeiro II","Jenipapeiro II",8066.85,"Açude Jenipapeiro II","Acude Jenipapeiro II","reservatorio","CE",0.05,0.1
0,"Canindé",248,2017-02-20,"PIAUÍ","ANA",1174.28,12233,"São João do Piauí / Capitão Gervásio Oliveira","Jenipapo","Jenipapo",97440.99,"Açude Jenipapo","Acude Jenipapo","reservatorio","PI",230,92.7
1528471.42,"Taperoá",4.66,2017-03-16,"PARAÍBA","AESA",152.85,12234,"Desterro","Jeremias","Jeremias",17104.61,"Açude Jeremias","Acude Jeremias","reservatorio","PB",2.05,43.9
0,"Curu",20.5,2017-03-18,"CEARÁ","ANA",261.5,12235,"Tejuçuoca / Irauçuba","Jerimum","Jerimum",28142,"Açude Jerimum","Acude Jerimum","reservatorio","CE",1.13,5.5
2479680.56,"Apodi/Mossoró",9.64,2017-03-07,"RIO GRANDE DO NORTE","GOVERNO RN",247.97,12236,"Tenente Ananias","Jesus, Maria, José","Jesus, Maria, Jose",16216.82,"Açude Jesus, Maria, José","Acude Jesus, Maria, Jose","reservatorio","RN",0,0
0,"Poti",10.67,2017-02-20,"PIAUÍ","ANA",79.04,12237,"Pedro II","Joana","Joana",4907.19,"Açude Joana","Acude Joana","reservatorio","PI",0.7,6.6
4852554.29,"Médio Jaguaribe",26.77,2017-03-18,"CEARÁ","ANA",485.26,12240,"Jaguaribe","Joaquim Távora","Joaquim Tavora",31068.87,"Açude Joaquim Távora (Feiticeiro)","Acude Joaquim Tavora (Feiticeiro)","reservatorio","CE",2.95,11
1147426.68,"Médio Paraíba",22.33,2017-03-02,"PARAÍBA","AESA",114.74,12241,"Campina Grande / Fagundes","José Rodrigues","Jose Rodrigues",14418.22,"Açude José Rodrigues","Acude Jose Rodrigues","reservatorio","PB",7.72,34.6
402122.1,"Terra Nova",3.5,2017-02-24,"PERNAMBUCO","ANA",40.21,12242,"Mirandiba","Juá","Jua",4038.51,"Açude Juá","Acude Jua","reservatorio","PE",0,0
10627211.02,"Capibaribe",327,2017-03-15,"PERNAMBUCO","ANA",1062.72,12243,"Frei Miguelinho / Riacho das Almas / Surubim","Jucazinho","Jucazinho",87231.58,"Açude Jucazinho (Antônio Gouveia Neto)","Acude Jucazinho (Antonio Gouveia Neto)","reservatorio","PE",0,0
442846.49,"Salgado",2.03,2017-03-18,"CEARÁ","ANA",44.28,12244,"Granjeiro","Junco","Junco",3647.31,"Açude Junco","Acude Junco","reservatorio","CE",0.13,6.4
7380225.21,"Peixe",80.22,2017-03-17,"PARAÍBA","AESA",738.02,12246,"Cajazeiras / Bom Jesus","Lagoa do Arroz","Lagoa do Arroz",54234.73,"Açude Lagoa do Arroz","Acude Lagoa do Arroz","reservatorio","PB",9.48,11.8
4417478.15,"Brígida",22.95,2017-03-03,"PERNAMBUCO","ANA",441.75,12247,"Araripina","Lagoa do Barro","Lagoa do Barro",19350.05,"Açude Lagoa do Barro","Acude Lagoa do Barro","reservatorio","PE",0.03,0.1
2558607.69,"Boqueirão",11.07,2017-03-17,"RIO GRANDE DO NORTE","GOVERNO RN",255.86,12249,"Touros","Lagoa do Boqueirão","Lagoa do Boqueirao",16730.06,"Lagoa do Boqueirão","Lagoa do Boqueirao","reservatorio","RN",7.99,72.2
0,"Mamanguape",1.24,2017-02-15,"PARAÍBA","AESA",7.04,12250,"Bananeiras","Lagoa do Matias","Lagoa do Matias",978.72,"Açude Lagoa do Matias","Acude Lagoa do Matias","reservatorio","PB",0.21,17.1
2010832.72,"Taperoá",6.65,2017-02-21,"PARAÍBA","AESA",201.08,12251,"Taperoá","Lagoa do Meio","Lagoa do Meio",15536.85,"Açude Lagoa do Meio","Acude Lagoa do Meio","reservatorio","PB",0.21,3.2
207307.53,"São Francisco",1.61,2016-12-30,"SERGIPE","ANA",20.73,12252,"Porto da Folha","Lagoa do Rancho","Lagoa do Rancho",4132.02,"Açude Lagoa do Rancho","Acude Lagoa do Rancho","reservatorio","SE",0.34,21
0,"Pajeu",1.1,2017-02-24,"PERNAMBUCO","ANA",4.91,12253,"Afogados da Ingazeira","Laje de Gato","Laje de Gato",1952.58,"Açude Laje de Gato","Acude Laje de Gato","reservatorio","PE",0,0
